album_id,artist_id
284,172
285,87
286,173
287,80
288,174
289,76
290,175
292,177
293,178
294,36
295,179
296,180
297,25
299,181
300,166
301,182
302,183
303,131
304,114
305,80
306,184
307,4
308,185
309,186
310,5
311,166
312,187
313,188
314,189
315,190
316,76
317,191
318,192
319,193
320,108
321,194
322,29
323,3
324,57
325,69
326,13
327,195
328,14
329,80
330,196
331,182
332,3
333,3
334,197
335,114
336,114
338,5
339,198
340,70
341,199
342,99
343,106
344,200
345,11
346,1
347,60
348,201
349,202
350,203
353,204
354,8
355,188
356,205
357,14
358,25
359,177
360,206
361,207
362,36
363,208
364,61
365,30
366,4
367,96
368,209
369,210
370,211
371,46
372,188
373,212
375,213
376,73
377,73
378,214
379,214
380,216
381,101
382,217
383,218
384,219
385,220
386,222
387,167
388,223
389,223
390,224
391,225
392,78
393,78
394,226
395,30
396,60
397,3
398,13
399,13
400,227
401,47
403,228
404,11
405,229
406,229
407,230
408,231
409,231
410,231
411,108
412,229
413,14
414,117
415,117
416,2
417,37
418,188
419,232
420,230
421,233
422,72
423,234
424,46
425,220
428,106
429,235
430,106
431,54
432,64
433,196
434,59
435,11
436,11
437,11
438,11
439,192
440,237
441,14
442,238
443,37
444,239
445,240
446,241
447,115
448,36
449,143
450,106
452,143
453,244
454,245
455,246
456,247
457,200
458,238
459,248
460,249
461,243
462,250
463,251
464,107
465,107
466,115
467,252
468,253
469,254
470,102
471,255
472,60
473,256
476,257
478,205
479,179
480,258
481,259
482,260
483,208
484,261
485,262
486,263
487,115
488,200
490,266
491,267
492,269
493,270
494,25
495,271
496,272
497,168
498,273
499,274
501,276
502,277
503,263
504,263
505,278
506,279
507,280
508,8
509,101
510,281
511,263
512,36
513,282
514,94
515,283
516,285
517,69
520,5
521,289
522,289
523,104
524,290
525,143
526,111
527,193
528,25
529,81
530,225
531,253
532,253
533,291
534,119
535,175
536,78
537,60
538,45
539,293
540,294
541,110
542,295
544,173
545,298
546,299
547,294
548,301
550,210
551,294
552,302
553,151
554,303
555,303
556,304
557,76
558,76
559,76
560,29
561,305
562,306
563,177
564,96
565,307
566,308
567,309
568,310
569,101
570,108
571,211
572,225
574,312
576,313
577,211
578,315
579,115
580,211
581,221
582,178
583,44
584,44
585,243
586,47
587,316
588,154
589,317
590,318
591,319
592,320
593,110
594,151
595,211
596,101
597,321
598,322
599,311
600,44
601,44
602,57
603,324
604,237
605,315
606,193
607,325
